recipe,title_length,recipe_length,ingredients_length,recipe_freq_word,number_of_ingredient,class
"Feuilleté de saumon et de poireau, sauce aux crevettes",9,107,35,poireau,13,Plat principal
Cake poulet/moutarde/amandes,2,56,40,faire,12,Entrée
Bûche à la truite fumée (7ème rencontre),7,77,20,mascarpone,6,Entrée
Gâteau au yaourt au coco sans huile de laetitia,9,25,25,mélanger,9,Dessert
Crêpes au canard laqué,4,145,56,ajouter,15,Entrée
Verrines aux asperges,3,40,28,asperge,7,Entrée
Lotte au paprika,3,34,34,émincer,10,Plat principal
Tourte à la viande et aux champignons,7,83,51,champignon,20,Plat principal
Gibelotte de lapin aux champignons,5,61,36,faire,13,Plat principal
Brandade de morue économique,4,61,27,faire,8,Plat principal
Cheese-cake à la crème de whisky,6,76,45,faire,10,Dessert
"Cake aux olives, épaule, lardon et gruyère facile!",8,82,36,cake,10,Plat principal
Rôti de porc farci aux amandes,6,70,35,rôti,10,Plat principal
La Tarte renversée des Demoiselles Tatin,6,192,33,tarte,12,Dessert
Pavés de requin à l'ail et à l'harissa,8,60,20,pavé,7,Plat principal
Gâteau miam-miam,2,52,29,chocolat,10,Dessert
Mijoté de Gombos au poisson,5,66,55,rajouter,14,Plat principal
Papillote de poulet à la moutarde,6,31,14,four,6,Plat principal
Tourte lorraine,2,106,44,pâte,12,Entrée
Poulet au gingembre et petits légumes,6,101,41,poulet,14,Plat principal
Gratin de fruits exotiques,4,56,32,fruit,11,Dessert
Pissaladière,1,118,26,oignon,9,Entrée
Croque Gratin au jambon,4,58,23,6,8,Plat principal
Bûche de Noël noix de coco-chocolat,6,169,78,biscuit,25,Dessert
Endives gratinées au chèvre,4,74,24,faire,9,Plat principal
Cabillaud aux cinq saveurs,4,44,29,préparation,9,Plat principal
Rôti de porc à la tomate,6,55,39,ajouter,12,Plat principal
Cordon bleu de la mer,5,66,28,parmesan,9,Plat principal
Navarin de lapin,3,87,47,faites,16,Plat principal
Bananes flambées au Cognac,4,43,12,banane,7,Dessert
Ttorr (Pays Basque),3,105,48,laisser,15,Entrée
Mille-feuilles marin,2,45,30,crêpe,9,Entrée
"Salade trois couleurs (pomme, tomate et concombre)",7,49,14,mettre,7,Entrée
Filets de lieu à la provençale,6,81,32,poêle,11,Plat principal
"Mâche aux foie gras, aux crevettes et aux pommes",9,51,31,couper,11,Plat principal
Biscuit aux amandes gratinées,4,54,47,pot,12,Dessert
Gâteau fondant au thon,4,34,35,faire,11,Plat principal
Escalope de veau à la crème et au paprika,9,39,20,escalope,7,Plat principal
Rouelle de porc au gingembre,5,61,22,oignon,10,Plat principal
Beignets râpés lorrains,3,90,23,pomme,10,Plat principal
